"year_nr","month_nr","prc_of_rainy_days_in_month"
1997,1,38.71
1997,2,10.71
1997,4,26.67
1997,5,45.16
1997,6,20.00
1997,7,38.71
1997,8,22.58
1997,9,16.67
1997,10,19.35
1997,11,56.67
1997,12,38.71
1998,1,25.81
1998,2,21.43
1998,3,12.90
1998,4,43.33
1998,5,58.06
1998,6,6.67
1998,7,3.23
1998,8,16.13
1998,9,20.00
1998,10,9.68
1998,11,10.00
1998,12,22.58
1999,1,19.35
1999,2,14.29
1999,3,32.26
1999,4,26.67
1999,5,29.03
1999,6,23.33
1999,7,6.45
1999,8,3.23
1999,9,26.67
1999,10,41.94
1999,11,20.00
1999,12,19.35
2000,1,12.90
2000,5,39.29
2000,7,6.45
2000,9,13.33
2000,10,22.58
2000,11,30.00
2000,12,48.39
2001,1,51.61
2001,2,14.29
2001,3,38.71
2001,4,10.00
2001,5,19.35
2001,6,6.67
2001,7,9.68
2001,8,3.23
2001,9,13.33
2001,10,32.26
2001,11,16.67
2001,12,9.68
2002,1,29.03
2002,2,7.14
2002,3,29.03
2002,4,23.33
2002,5,25.81
2002,6,20.00
2002,7,9.68
2002,8,3.23
2002,9,26.67
2002,10,25.81
2002,11,46.67
2002,12,32.26
2003,1,32.26
2003,2,32.14
2003,3,25.81
2003,4,30.00
2003,5,16.13
2003,6,6.67
2003,8,3.23
2003,9,3.33
2003,10,45.16
2003,11,33.33
2003,12,25.81
2004,2,20.69
2004,3,29.03
2004,4,30.00
2004,5,51.61
2004,6,6.67
2004,7,9.68
2004,8,12.90
2004,9,13.33
2004,10,32.26
2004,11,10.00
2004,12,12.90
2005,2,17.86
2005,3,12.90
2005,4,16.67
2005,5,12.90
2005,6,13.33
2005,8,6.45
2005,9,20.00
2005,10,45.16
2005,11,23.33
2005,12,16.13
2006,1,19.35
2006,2,17.86
2006,3,32.26
2006,4,23.33
2006,5,16.13
2006,6,33.33
2006,7,6.45
2006,8,6.45
2006,9,30.00
2006,10,38.71
2006,11,40.00
2006,12,9.68
2007,1,12.90
2007,2,35.71
2007,3,16.13
2007,4,56.67
2007,5,25.81
2007,6,16.67
2007,8,16.13
2007,9,13.33
2007,10,16.13
2007,11,10.00
2007,12,12.90
2008,1,12.90
2008,2,27.59
2008,3,9.68
2008,4,33.33
2008,5,51.61
2008,6,30.00
2008,7,3.23
2008,9,23.33
2008,10,38.71
2008,11,23.33
2008,12,32.26
2009,1,25.81
2009,2,25.00
2009,3,12.90
2009,4,36.67
2009,5,12.90
2009,6,30.00
2009,8,3.23
2009,9,23.33
2009,10,16.13
2009,11,10.00
2009,12,45.16
2010,1,29.03
2010,2,46.43
2010,3,38.71
2010,4,33.33
2010,5,29.03
2010,6,33.33
2010,7,9.68
2010,8,9.68
2010,9,13.33
2010,10,25.81
2010,11,26.67
2010,12,41.94
2011,1,32.26
2011,2,21.43
2011,3,41.94
2011,4,30.00
2011,5,38.71
2011,6,10.00
2011,7,3.23
2011,8,22.58
2011,9,3.33
2011,10,9.68
2011,11,53.33
2011,12,9.68
2012,1,3.23
2012,2,6.90
2012,3,6.45
2012,4,50.00
2012,5,22.58
2012,6,6.67
2012,7,9.68
2012,9,16.67
2012,10,35.48
2012,11,23.33
2012,12,22.58
2013,1,32.26
2013,2,46.43
2013,3,61.29
2013,4,36.67
2013,5,38.71
2013,6,13.33
2013,7,6.45
2013,8,12.90
2013,9,20.00
2013,10,32.26
2013,11,13.33
2013,12,25.81
2014,1,51.61
2014,2,64.29
2014,3,29.03
2014,4,10.00
2014,5,16.13
2014,6,23.33
2014,7,6.45
2014,9,30.00
2014,10,22.58
2014,11,60.00
2014,12,22.58
2015,1,22.58
2015,2,28.57
2015,3,25.81
2015,4,30.00
2015,5,3.23
2015,6,23.33
2015,7,6.45
2015,8,12.90
2015,9,13.33
2015,10,35.48
2015,11,10.00
2015,12,12.90
